id,msid,title,abstract,cite_count,DOI,location
192,468669,'Towards a Better Understanding of Context and Context-Awareness',"'When humans talk with humans, they are able to use implicit situational information, or context, to increase the conversational bandwidth. Unfortunately, this ability to convey ideas does not transfer well to humans interacting with computers. In tradi-tional interactive computing, users have an impoverished mechanism for providing input to computers. By improving the computer's access to context, we increase the richness of communication in human-computer interaction and make it possible to produce more useful computational services. The use of context is increasingly im-portant in the fields of handheld and ubiquitous computing, where the user's context is changing rapidly. In this panel, we want to discuss some of the research challenges in understanding context and in developing context-aware applications. We define context as any information that can be used to characterize the situation of an entity, where an entity can be a person, place, or physical or computational object. We define context-awareness or context-aware computing as the use of con-text to provide task-relevant information and/or services to a user. Three important context-awareness behaviours are the presentation of information and services to a user, automatic execution of a service, and tagging of context to information for later retrieval. Some of the main challenges in the area of context-aware computing are: '",944,'10.1007/3-540-48157-5_29','Ubiquitous Computing/Handheld and Ubiquitous Computing - UbiComp(HUC)'
193,468693,'At Home with Ubiquitous Computing: Seven Challenges',"'The smart home  offers a new opportunity to augment people's lives with ubiquitous computing  technology that provides increased communications, awareness, and functionality. Recently, a number of trends have increased the likelihood that the aware home can soon become a reality. We examine a num- ber of challenges from the technical, social, and pragmatic domains that we feel must be overcome before the vision of the smart home, posited by ubiquitous computing  research, can become a reality. Our hope in raising these issues is to create a conversation among researchers in the varied disciplines that make up ubiquitous computing. In particular, we hope to raise awareness of the existing literature on the adoption, use, and hist ory of domestic technologies, as well as the use of situated studies, and the benef its that these can bring to bear on the design and evaluation of technologies for the home'",209,'10.1007/3-540-45427-6_22','Ubiquitous Computing/Handheld and Ubiquitous Computing - UbiComp(HUC)'
194,473163,'Tool support for designing nomadic applications',"'Model-based approaches can be useful when designing nomadic applications, which can be accessed through multiple interaction platforms. Various models and levels of abstraction  can be considered in such approaches. The lack of automatic tool support  has been the main limitation to their use. We present a tool, TERESA, supporting top-down transformations from task models to abstract user interfaces and then to user interfaces for different types of interaction platforms (such as mobile phones or desktop systems). It allows designers to keep a unitary view of the design of a given nomadic application. Moreover, the tool provides support for obtaining effective interfaces for each type of platform available, taking into account the consequent differences in terms of tasks and their performance'",102,'10.1145/604045.604069','Intelligent User Interfaces - IUI'
195,577521,'Pad++: a zooming graphical interface for exploring alternate interface physics',"'We describe the current status of Pad++, a zooming graphical interface  that we are exploring as an alternative to tradhional window and icon-based approaches to interface design. We discuss the motivation for Pad++, describe the implementa- tion, and present prototype applications. In addition, we intro- duce an informational physics strategy for interface design  and briefly compare it with metaphor-based design strategies.'",395,'10.1145/192426.192435','User Interface Software and Technology - UIST'
196,578352,'Efficient Filtering of XML Documents for Selective Dissemination of Information',"'Information Dissemination  applications are gaining in- creasing popularity due to dramatic improvements in communications bandwidth and ubiquity. The sheer volume of data available necessitates the use of selec- tive approaches to dissemination in order to avoid over- whelming users with unnecessary information. Existing mechanisms for selective dissemination typically rely on simple keyword matching or ""bag of words"" infor- mation retrieval techniques. The advent of XML as a standard for information exchange  and the development of query languages for XML data enables the develop- ment of more sophisticated filtering mechanisms that take structure information into account. We have devel- oped several index organizations and search algorithms for performing efficient filtering of XML documents for large-scale information dissemination  systems. In this paper we describe these techniques and examine their performance across a range of document, workload, and scale scenarios.'",433,null,'Very Large Data Bases - VLDB'
197,631126,'Stuff I've seen: a system for personal information retrieval and re-use',"'Most information retrieval  technologies are designed to facilitate information discovery. However, much knowledge work  involves finding and re-using previously seen information. We describe the design and evaluation of a system, called Stuff I've Seen (SIS), that facilitates information re-use. This is accomplished in two ways. First, the system provides a unified index of information that a person has seen, whether it was seen as email, web page, document, appointment, etc. Second, because the information has been seen before, rich contextual cues can be used in the search interface. The system has been used internally by more than 230 employees. We report on both qualitative and quantitative aspects of system use. Initial findings show that time and people are important retrieval cues. Users find information more easily using SIS, and use other search tools less frequently after installation.'",343,'10.1145/860435.860451','Research and Development in Information Retrieval - SIGIR'
198,635223,'Moving objects in space: exploiting proprioception in virtual-environment interaction',"'Manipulation in immersive virtual environments is difficult partly because users must do without the haptic contact with real objects they rely on in the real world to orient themselves and their manipulanda. To compensate for this lack, we pro- pose exploiting the one real object every user has in a virtual environment, his body. We present a unified framework for virtual-environment interaction based on proprioception, a person's sense of the position and orientation of his body and limbs. We describe three forms of body-relative interaction:  Direct manipulationways to use body sense to help con- trol manipulation  Physical mnemonicsways to store/recall information relative to the body  Gestural actionsways to use body-relative actions to is- sue commands Automatic scaling is a way to bring objects instantly within reach so that users can manipulate them using proprioceptive cues. Several novel virtual interaction techniques based upon automatic scaling and our proposed framework of propriocep- tion allow a user to interact with a virtual world intuitively, ef- ficiently, precisely, and lazily. We report the results of both informal user trials and formal user studies of the usability of the body-relative interaction techniques presented.'",294,'10.1145/258734.258747','Annual Conference on Computer Graphics - SIGGRAPH'
199,635275,'SKETCH: an interface for sketching 3D scenes',"'Sketching communicates ideas rapidly through approximate visual images with low overhead (pencil and paper), no need for precision or specialized knowledge, and ease of low-level correction and revision. In contrast, most 3D computer modeling systems are good at generating arbitrary views of precise 3D models and support high-level editing and revision. The SKETCH application described in this paper attempts to combine the advantages of each in order to create an environment for rapidly conceptualizing and editing approximate 3D scenes. To achieve this, SKETCH uses simple non-photorealistic rendering and a purely gestural interf ace based on simplified line drawings  of primitives that allows all ope rations to be specified within the 3D world.'",458,'10.1145/237170.237238','Annual Conference on Computer Graphics - SIGGRAPH'
200,635818,'Rapid controlled movement through a virtual 3D workspace',"'Computer graphics hardware  supporting real-time interactive D animation  has the potential to support effective user interfaces by enabling virtual 3D workspaces. However, this potential requires development of viewpoint movement techniques that support rapid and controlled movement through workspaces. Rapid movement through large distances avoids wasted work time; controlled movement near target objects allows the user to examine and interact with objects in the workspace. Current techniques for viewpoint movement typically use high velocities to cover distances rapidly, but high velocities are hard to control near objects. This paper describes a new technique for targeted viewpoint movement that solves this problem. The key idea is to have the user indicate a point of interest  (target) on a 3D object and use the distance to this target to move the viewpoint logarithmically, by moving the same relative percentage of distance to the target on every animation cycle. the result is rapid motion over distances that slows as the viewpoint approaches the target object. The technique can be used with 2D and multidimensional input devices. We also extend the technique to move objects in the workspace.'",230,'10.1145/97879.97898','ACM Siggraph Computer Graphics'
201,637803,'A Middleware for Context-Aware Agents in Ubiquitous Computing Environments',"'Ubiquitous Computing  advocates the construction of massively dis- tributed systems that help transform physical spaces into computationally active and intelligent environments. The design of systems and applications  in these environments needs to take account of heterogeneous devices, mobile users and rapidly changing contexts. Most importantly, agents in ubiquitous and mobile environments need to be context-aware so that they can adapt themselves to dif- ferent situations. In this paper, we argue that ubiquitous computing  environ- ments must provide middleware  support for context-awareness. We also pro- pose a middleware  that facilitates the development of context-aware agents. The middleware  allows agents to acquire contextual information  easily, reason about it using different logics and then adapt themselves to changing contexts. An- other key issue in these environments is allowing autonomous, heterogeneous agents  to have a common semantic understanding of contextual information. Our middleware  tackles this problem by using ontologies to define different types of contextual information. This middleware  is part of Gaia, our infrastruc- ture for enabling Smart Spaces.'",202,'10.1007/3-540-44892-6_8','International Conference on Distributed Systems Platforms and Open Distributed Processing/Open Distributed Processing - Middleware(ODP)'
202,653162,'The anatomy of a context-aware application',"'Abstract We describe a platform for context-aware computing,which enables applications to follow mobile,users as they move around,a building. The platform is particularly suitable for richly equipped, networked environments. The only item a user is required to carry is a small sensor tag, which identifies them to the system,and locates them,accurately in three dimensions. The platform builds a dynamic,model,of the environment,using these location sensors and resource information gathered by telemetry software, and presents it in a form suitable for application programmers.,Use of the platform is illustrated through a practical example, which allows a users current working,desktop to follow them as they move,around the environment.'",637,'10.1145/313451.313476','Mobile Computing and Networking - MOBICOM'
203,653289,'Localization from mere connectivity',"'It is often useful to know the geographic positions of nodes in a communications network, but adding GPS receivers or other sophisticated sensors to every node can be expensive. We present an algorithm that uses connectivity information who is within communications range of whom to derive the locations of the nodes in the network. The method can take advantage of additional information, such as estimated distances between neighbors or known positions for certain anchor nodes, if it is available. The algorithm is based on multidimensional scaling, a data analysis  technique that takes O(n3) time for a network of n nodes. Through simulation studies, we demonstrate that the algorithm is more robust to measurement error  than previous proposals, especially when nodes are positioned relatively uniformly throughout the plane. Furthermore, it can achieve comparable results using many fewer anchor nodes than previous methods, and even yields relative coordinates when no anchor nodes are available.'",485,'10.1145/778415.778439','Mobile Ad Hoc Networking and Computing - MobiHoc'
204,663521,'Concepts and experiments in computational reflection',"'This paper brings some perspective to various concepts in computational reflection. A definition of computational reflection  is presented, the importance of computational reflection  is discussed and the architecture of languages that support reflection is studied. Further, this paper presents a survey of some experiments in reflection which have been performed. Examples of existing procedural, logic-based and rule-based languages with an architecture for reflection are briefly presented. The main part of the paper describes an original experiment to introduce a reflective architecture in an object-oriented language. It stresses the contributions of this language to the field of object-oriented programming and illustrates the new programming style made possible. The examples show that a lot of programming problems that were previously handled on an ad hoc basis, can in a reflective architecture be solved more elegantly.'",846,'10.1145/38807.38821','Sigplan Notices - SIGPLAN'
205,664255,'Ontology Based Context Modeling and Reasoning using OWL',"'In this paper we propose an OWL encoded context ontology (CONON) for modeling context in pervasive computing  environments, and for supporting logic- based context reasoning. CONON provides an upper context ontology that captures general concepts about basic context, and also provides extensibility for adding domain-specific ontology in a hierarchical manner. Based on this context ontology, we have studied the use of logic reasoning to check the consistency of context information, and to reason over low-level, explicit context to derive high-level, implicit context. By giving a performance study for our prototype, we quantitatively evaluate the feasibility of logic based context reasoning for non- time-critical applications in pervasive computing  environments, where we always have to deal carefully with the limitation of computational resources.'",303,'10.1109/PERCOMW.2004.1276898','IEEE International Conference on Pervasive Computing and Communications'
206,668885,'Photobook: Tools for Content-Based Manipulation of Image Databases',null,1008,null,'Storage and Retrieval for Image and Video Databases'
207,683209,'Lingua Francas for Design: Sacred Places and Pattern Languages',"'A central challenge in interaction design  has to do with its diversity. Designers, engineers, managers, marketers, researchers and users all have important contributions to make to the design process. But at the same time they lack shared concepts, experiences and perspectives. How is the process of design which requires communication, negotiation and compromiseto effectively proceed in the absence of a common ground? I argue that an important role for the interaction designer is to help stakeholders in the design process  to construct a lingua franca. To explore this issue, which has received remarkably little attention in HCI, I turn to work in urban design  and architecture. I begin by discussing a case study  in community design, reported by Hester (10), that demonstrates the power of a lingua franca for a particular design project. I then describe the concept of pattern languages and discuss how they might be adapted to the needs of interaction design  in general, and used, in particular, as meta- languages for generating lingua francas for particular design projects.'",104,'10.1145/347642.347794','Designing Interactive Systems - DIS'
208,696277,'Usability Engineering',null,3131,null,null
209,696803,'Sketchpad: a Man-Machine Graphical Communication System',null,687,'10.1145/1461551.1461591',null
210,706184,'Eigentaste: A Constant Time Collaborative Filtering Algorithm',null,337,null,'Information Retrieval - IR'
211,751451,'Automatic Partitioning of Full-Motion Video',"'Partitioning a video source into meaningful segments is an important step for video indexing. We present a comprehensive study of a partitioning system that detects segment boundaries. The system is based on a set of difference metrics and it measures the content changes between video frames. A twin-comparison approach has been developed to solve the problem of detecting transitions implemented by special effects. To eliminate the false interpretation of camera movements as transitions, a motion analysis  algorithm is applied to determine whether an actual transition has occurred. A technique for determining the threshold for a difference metric and a multi-pass approach to improve the computation speed and accuracy have also been developed.'",775,'10.1007/BF01210504','Multimedia Systems - MMS'
212,766747,'Seesoft-A Tool For Visualizing Line Oriented Software Statistics',"'By means of direct manipulation  and high interaction graphics, the user can manipulate this reduced repnzsentation of the code in order to find interesting patterns. Further insight is obtained by using additional windows to display the actual code. Potential applications for Seesoft include discovery, project management, code tuning, and analysis of development methodologies.'",398,'10.1109/32.177365','IEEE Transactions on Software Engineering - TSE'
213,773057,'Intelligent information-sharing systems',"'The Information Lens system is a prototype intelligent information-sharing system that is designed to include not only good user interfaces for supporting the problem-solving activity of individuals, but also good organizational interfaces for supporting the problem-solving activities of groups.'",428,'10.1145/22899.22903','Communications of The ACM - CACM'
214,774407,'PHOAKS: a system for sharing recommendations',null,230,'10.1145/245108.245122','Communications of The ACM - CACM'
215,774803,'GroupLens: applying collaborative filtering to Usenet news',null,934,'10.1145/245108.245126','Communications of The ACM - CACM'
216,775118,'Getting started with ASPECTJ',null,408,'10.1145/383845.383858','Communications of The ACM - CACM'
217,775595,'On the criteria to be used in decomposing systems into modules',"'This paper discusses modularization as a mechanism for improving the flexibility and comprehensibility of a system while allowing the shortening of its development time. The effectiveness of a ""modularization"" is dependent upon the criteria used in dividing the system into modules. A system design  problem is presented and both a conventional and unconventional decomposition are described. It is shown that the unconventional decompositions have distinct advantages for the goals outlined. The criteria used in arriving at the decompositions are discussed. The unconventional decomposition, if implemented with the conventional assumption that a module consists of one or more subroutines, will be less efficient in most cases. An alternative approach to implementation which does not have this effect is sketched.'",2311,'10.1145/361598.361623','Communications of The ACM - CACM'
218,775941,'Some computer science issues in ubiquitous computing',null,1111,'10.1145/159544.159617','Communications of The ACM - CACM'
219,776584,'Beyond the chalkboard: computer support for collaboration and problem solving in meetings',"'Although individual use of computers is fairly widespread, in meetings we tend to leave them behind. At Xerox PARC, an experimental meeting room called the Colab has been created to study computer support of collaborative problem solving  in face-to-face meetings. The long-term goal is to understand how to build computer tools to make meetings more effective'",662,'10.1145/7885.7887','Communications of The ACM - CACM'
220,776771,'Prototyping for tiny fingers',null,201,'10.1145/175276.175288','Communications of The ACM - CACM'
221,777206,'Using collaborative filtering to weave an information tapestry',null,1198,'10.1145/138859.138867','Communications of The ACM - CACM'
222,777495,"'Fab: content-based, collaborative recommendation'",null,992,'10.1145/245108.245124','Communications of The ACM - CACM'
223,780964,'Aspect-oriented programming',null,771,'10.1145/242224.242420','ACM Computing Surveys - CSUR'
224,799581,'High Confidence Visual Recognition of Persons by a Test of Statistical Independence',"'Abstruct- A method for rapid visual recognition of personal identity  is described, based on the failure of a statistical test  of independence. The most unique phenotypic feature visible in a person's face is the detailed texture of each eye's iris: An estimate of its statistical complexity  in a sample of the human population reveals variation corresponding to several hundred independent degrees-of-freedom. Morphogenetic randomness in the texture expressed phenotypically in the iris trabecular meshwork  ensures that a test of statistical independence  on two coded patterns originating from different eyes is passed almost certainly, whereas the same test is failed almost certainly when the compared codes originate from the same eye. The visible texture of a person's iris in a real-time video image is encoded into a compact sequence of multi-scale quadrature 2-D Gabor wavelet coefficients, whose most-significant bits comprise a 256-byte ""iris code."" Statistical decision theory  generates identification decisions from Exclusive- OR comparisons of complete iris codes at the rate of 4000 per second, including calculation of decision confidence levels. The distributions observed empirically in such comparisons imply a theoretical ""cross-over"" error rate  of one in 131000 when a decision criterion is adopted that would equalize the false accept and false reject error rates. In the typical recognition case, given the mean observed degree of iris code agreement, the decision confidence levels correspond formally to a conditional false accept probability of one in about lo""'.'",983,'10.1109/34.244676','IEEE Transactions on Pattern Analysis and Machine Intelligence - PAMI'
225,800432,'Content-Based Image Retrieval at the End of the Early Years',"'Presents a review of 200 references in content-based image retrieval. The paper starts with discussing the working conditions  of content-based retrieval: patterns of use, types of pictures, the role of semantics, and the sensory gap. Subsequent sections discuss computational steps for image retrieval  systems. Step one of the review is image processing  for retrieval sorted by color, texture, and local geometry. Features for retrieval are discussed next, sorted by: accumulative and global features, salient points, object and shape features, signs, and structural combinations thereof. Similarity of pictures and objects in pictures is reviewed for each of the feature types, in close connection to the types and means of feedback the user of the systems is capable of giving by interaction. We briefly discuss aspects of system engineering: databases, system architecture, and evaluation. In the concluding section, we present our view on: the driving force  of the field, the heritage from computer vision, the influence on computer vision, the role of similarity and of interaction, the need for databases, the problem of evaluation, and the role of the semantic gap.'",2445,'10.1109/34.895972','IEEE Transactions on Pattern Analysis and Machine Intelligence - PAMI'
226,804401,'Evaluating collaborative filtering recommender systems',"'Recommender systems have been evaluated in many, often incomparable, ways. In this article, we review the key decisions in evaluating collaborative filtering  recommender systems: the user tasks being evaluated, the types of analysis and datasets being used, the ways in which prediction quality is measured, the evaluation of prediction attributes other than quality, and the user-based evaluation of the system as a whole. In addition to reviewing the evaluation strategies used by prior researchers, we present empirical results from the analysis of various accuracy metrics on one content domain where all the tested metrics collapsed roughly into three equivalence classes. Metrics within each equivalency class were strongly correlated, while metrics from different equivalency classes were uncorrelated.'",965,'10.1145/963770.963772','ACM Transactions on Information Systems - TOIS'
227,807222,'Information Visualization and Visual Data Mining',"'In- formation visualization and visual data mining  can help to deal with the flood of information. The advantage of visual data exploration  is that the user is directly involved in the data mining  process. There is a large number of information visualization  techniques which have been developed over the last decade to support the exploration of large data  sets. In this paper, we propose a classification of information visu- alization and visual data mining  techniques which is based on the data type  to be visualized, the visualization technique  and the interaction and distortion technique. We exemplify the clas- sification using a few examples, most of them referring to techniques and systems presented in this special issue.'",373,'10.1109/2945.981847','IEEE Transactions on Visualization and Computer Graphics - TVCG'
228,821649,'Emerging frameworks for tangible user interfaces',"'We present steps towards a conceptual framework  for tangible user interfaces. We introduce the MCRpd interaction model  for tangible interfaces, which relates the role of physical and digital representations, physical control, and underlying digital models. This model serves as a foundation for identifying and discussing several key characteristics of tangible user interfaces. We identify a number of systems exhibiting these characteristics, and situate these within twelve application domains. Finally, we discuss tangible interfaces in the context of related research themes, both within and outside of the human-computer interaction domain.'",421,'10.1147/sj.393.0915','Ibm Systems Journal - IBMSJ'
229,822392,'Classroom 2000: An Experiment with the Instrumentation of a Living Educational Environment',null,363,'10.1147/sj.384.0508','Ibm Systems Journal - IBMSJ'
230,824027,'The Evaluator Effect: A Chilling Fact About Usability Evaluation Methods',"'Computer professionals have a need for robust, easy-to-use usability evaluation  methods (UEMs) to help them systematically improve the usability of computer artefacts. However, cognitive walkthrough, heuristic evaluation, and thinking-aloud studies - three of the most widely used UEMs - suffer from a substantial evaluator effect in that multiple evaluators evaluating the same interface with the same UEM detect markedly different sets of problems. A review of eleven studies of these three UEMs reveals that the evaluator effect exists for both novice and experienced evaluators, for both cosmetic and severe problems, for both problem detection and severity assessment, and for evaluations of both simple and complex systems. The average agreement between any two evaluators who have evaluated the same system using the same UEM ranges from 5% to 65%, and no one of the three UEMs is consistently better than the others. While evaluator effects of this magnitude may not be surprising for a UEM as informal as heuristic evaluation, it is certainly notable that a substantial evaluator effect persists for evaluators who apply the strict procedure of cognitive walkthrough  or observe users thinking out loud. Hence, it is highly questionable to use a thinking -aloud study with one evaluator as an authoritative statement about what problems an interface contains. Generally, the application of the UEMs is characterised by (1) vague goal analyses leading to variability in the task scenarios, (2) vague evaluation procedures leading to anchoring, and/or (3) vague problem criteria leading to anything being accepted as a usability problem. The simplest way of coping with the evaluator effect, which cannot be completely eliminated, is to involve multiple evaluators in usability evaluations.'",146,'10.1207/S15327590IJHC1501_14','International Journal of Human-computer Interaction - IJHCI'
231,824780,'How people revisit web pages: empirical findings and implications for the design of history systems',"'We report on users' revisitation patterns to World Wide Web  (web) pages, and use the results to lay an empirical foundation for the design of history mechanisms in web browsers. Through history, a user can return quickly to a previously visited page, possibly reducing the cognitive and physical overhead required to navigate to it from scratch. We analysed 6 weeks of detailed usage data collected from 23 users of a well- known web browser. We found that 58% of an individual's pages are revisits, and that users continually add new web pages  into their repertoire of visited pages. People tend to revisit pages just visited, access only a few pages frequently, browse in very small clusters of related pages and generate only short sequences of repeated URL paths. We compared dierent history mechanisms, and found that the stack-based prediction method  preval- ent in commercial browsers is inferior to the simpler approach of showing the last few recently visited URLs with duplicates removed. Other predictive approaches fare even better. Based on empirical evidence, eight design guidelines for web browser history mechanisms were then formulated. When used to evaluate the existing hypertext-based history mechanisms, they explain why some aspects of today's browsers seem to work well, and other's poorly. The guidelines also indicate how history mechanisms in the web can be made even more eective. ( 1997 Academic Press Limited'",366,'10.1006/ijhc.1997.0125','International Journal of Human-computer Studies / International Journal of Man-machine Studies - IJMMS'
232,835493,'Mica: A Wireless Platform for Deeply Embedded Networks',"'Low-power integration of sensing, communication, and computation requires a new approach to wireless design. Flexible interfaces and primitive accelerators enable aggressive system-level optimizations. Mica's flexible design serves as a building block  for creating efficient application-specific protocols. Instead of defining narrow, standardized application interfaces, Mica provides a set of richly interconnected primitives (such as data serializers and timing extractors) to facilitate cross-layer optimizations. To explore novel systems approaches, researchers can develop customized protocols tailored to their application; Mica does not require use of predefined protocols.'",574,'10.1109/MM.2002.1134340','IEEE Micro - MICRO'
233,845108,'The Nature of External Representations in Problem Solving',"'This article proposes a theoretical framework  for external representation  based problem solving. The Tic-Tac-Toe and its isomorphs are used to illustrate the procedures of the framework as a methodology and test the predictions of the framework as a functional model. Experimental results show that the behavior in the Tic-Tac-Toe is determined by the directly available information in external and internal representations in terms of perceptual and cognitive biases, regardless of whether the biases are consistent with, incon- sistent with, or irrelevant to the task. It is shown that ex- ternal representations are not merely inputs and stimuli to the internal mind and that they have much more important functions than mere memory aids. A representational de- terminism is suggested--the form of a representation de- termines what information can be perceived, what proc- esses can be activated, and what structures can be discov- ered from the specific representation. External representations are involved in many cogni- tive tasks, such as multiplication with paper and pen- cil, grocery shopping with a written list, geometrical problem solving, graph understanding, diagrammatic reasoning, chess playing, and so on. Few would deny that external representations play certain roles in these tasks. However, in comparison with internal representations, relatively little research has been directed towards the nature of external representa- tions in cognition. This might be due to the belief that very little knowledge about the internal mind can be gained by studying external representations, or due to the view that external representations are nothing but inputs and stimuli to the internal mind, or simply due to the lack of a suitable methodology for studying external representations. This article explores the functions of external representations, using problem solving  as the task domain and test bed. It takes the position that much can be learned about the internal mind by studying external representations because much of the struc- ture of the internal mind is a reflection of the struc- ture of the external environment (e.g., Anderson, 1993; Shepard, 1984; Simon, 1981). It argues that external representations are not simply inputs and stimuli to the internal mind; rather, they are so intrin- sic to many cognitive tasks that they guide, constrain, and even determine cognitive behavior. By focusing on what information in external representations can be perceived and how the information in external representations affects problem solving  behavior, this article develops a theoretical framework  for external representation  based (henceforth, ER-based) problem solving. This framework is not only a functional model  that can make specific empirical predictions but also a methodology that can be used to systemati- cally analyze ER-based problem solving  tasks. This article is divided into five parts. The first part introduces the theoretical background, including a definition of external representations, a discussion on the relationship between internal and external rep- resentations, and a brief review of the important roles of external representations in cognition. The second part proposes the theoretical framework  for ER-based problem solving. The third part uses the framework as a methodology to analyze the structure of the Tic- Tac-Toe and as a functional model  to make specific predictions about the behavior in the Tic-Tac-Toe. The fourth part reports three experiments designed to test the predictions of the framework and examine the general properties of external representations. The last part summarizes the experimental results, evalu- ates the theoretical framework, and suggests a repre- sentational determinism.'",334,'10.1207/s15516709cog2102_3','Cognitive Science - COGSCI'
234,845153,'Representations in Distributed Cognitive Tasks',"'In this paper we propose a theoretical frame- work of distributed representations and a methodology of representational analysis for the study of distributed cognitive taskstasks that require the processing of information distributed across the internal mind and the external envi- ronment. The basic principle of distributed rep- resentations is that the representational system of a distributed cognitive task is a set of internal and external representations, which together represent the abstract structure of the task. The basic strategy of representational analysis is to decompose the representation of a hierarchical task into its component levels so that the repre- sentational properties at each level can be inde- pendently examined. The theoretical framework  and the methodology are used to analyze the hi- erarchical structure of the Tower of Hanoi prob- lem. Based on this analysis, four experiments are designed to examine the representational proper- ties of the Tower of Hanoi. Finally, the nature of external representations is discussed.'",447,'10.1207/s15516709cog1801_3','Cognitive Science - COGSCI'
235,846908,'Query by Image and Video Content: The QBIC System',"'Research on ways to extend and improve query methods for image databases is widespread. We have developed the QBIC (Query by Image Content) system to explore content-based retrieval methods. QBIC allows queries on large image and video databases based on example images, user-constructed sketches and drawings, selected color and texture patterns, camera and object motion, and other graphical information. Two key properties of QBIC are (1) its use of image and video content-computable properties of color, texture, shape and motion of images, videos and their objects-in the queries, and (2) its graphical query language, in which queries are posed by drawing, selecting and other graphical means. This article describes the QBIC system and demonstrates its query capabilities. QBIC technology is part of several IBM products'",1813,'10.1109/2.410146','IEEE Computer - COMPUTER'
236,847553,'Direct Manipulation: A step beyond programming languages',null,725,'10.1109/MC.1983.1654471','IEEE Computer - COMPUTER'
237,854442,'An overview of data warehousing and OLAP technology',"'Data warehousing  and on-line analytical processing (OLAP) are essential elements of decision support, which has increasingly become a focus of the database industry. Many commercial products and services are now available, and all of the principal database management system  vendors now have offerings in these areas. Decision support  places some rather different requirements on database technology compared to traditional on-line transaction processing  applications. This paper provides an overview of data warehousing  and OLAP technologies, with an emphasis on their new requirements. We describe back end tools for extracting, cleaning and loading data into a data warehouse; multidimensional data  models typical of OLAP; front end  client tools for querying and data analysis; server extensions for efficient query processing; and tools for metadata management  and for managing the warehouse. In addition to surveying the state of the art, this paper also identifies some promising research issues, some of which are related to problems that the database research community has worked on for years, but others are only just beginning to be addressed. This overview is based on a tutorial that the authors presented at the VLDB Conference, 1996.'",1010,'10.1145/248603.248616','Sigmod Record'
238,872733,'What we talk about when we talk about context',"'The emergence of ubiquitous computing  as a new design paradigm poses significant challenges for HCI and interaction design. Traditionally, human-computer interaction has taken place within a constrained and well-understood domain of experience - single users sitting at desks and interacting with conventionally-designed computers employing screens, keyboards and mice for interaction. New opportunities have engendered considerable interest in ""context-aware computing"" - computational systems that can sense and respond to aspects of the settings in which they are used. However, considerable confusion surrounds the notion of ""context"" - what it means, what it includes, and what role it plays in interactive systems. This paper suggests that the representational stance implied by conventional interpretations of ""context"" misinterprets the role of context in everyday human activity, and proposes an alternative model that suggests different directions for design.'",369,'10.1007/s00779-003-0253-8','Personal and Ubiquitous Computing - PUC'
239,884746,'A taxonomy of web search',"'Classic IR (information retrieval) is inherently predicated on users searching for information, the so-called ""information need"". But the need behind a web search  is often not informational -- it might be navigational (give me the url of the site I want to reach) or transactional (show me sites where I can perform a certain transaction, e.g. shop, download a file, or find a map). We explore this taxonomy of web searches and discuss how global search engines evolved to deal with web-specific needs.'",546,'10.1145/792550.792552','Sigir Forum'
240,893785,'An architecture for privacy-sensitive ubiquitous computing',"'Privacy is the most often-cited criticism of ubiquitous computing, and may be the greatest barrier to its long-term success. However, developers currently have little support in designing software architectures and in creating interactions that are effective in helping end-users manage their privacy. To address this problem, we present Confab, a toolkit for facilitating the development of privacy-sensitive ubiquitous computing  applications. The requirements for Confab were gathered through an analysis of privacy needs for both end-users and application developers. Confab provides basic support for building ubiquitous computing  applications, providing a framework as well as several customizable privacy mechanisms. Confab also comes with extensions for managing location privacy. Combined, these features allow application developers and end-users to support a spectrum  of trust levels and privacy needs.'",244,'10.1145/990064.990087',"'International Conference on Mobile Systems, Applications, and Services - MobiSys'"
241,895867,'Usability inspection methods','Usability inspection is the generic name for a set of costeffective ways of evaluating user interfaces to find usability problems. They are fairly informal methods and easy to use.',675,'10.1145/259963.260531','Computer Human Interaction - CHI'
242,895950,'A mathematical model of the finding of usability problems',"'For 11 studies, we find that the detection of usability problems as a function of number of users tested or heuristic evaluators employed is well modeled as a Poisson process. The model can be used to plan the amount of evaluation required to achieve desired levels of thoroughness or benefits. Results of early tests can provide estimates of the number of problems left to be found and the number of additional evaluations needed to find a given fraction. With quantitative evaluation  costs and detection values, the model can estimate the numbers of evaluations at which optimal cost/benefit ratios are obtained and at which marginal utility vanishes. For a ""medium"" example, we estimate that 16 evaluations would be worth their cost, with maximum benefit/cost ratio at four.'",262,'10.1145/169059.169166','Computer Human Interaction - CHI'
243,895978,'Tivoli: an electronic whiteboard for informal workgroup meetings',"'This paper describes Tivoli, an electronic whiteboard application designed to support informal workgroup meetings and targeted to run on the Xerox Liveboard, a large screen, pen-based interactive display. Tivoli strives to provide its users with the simplicity, facile use, and easily understood functionality of conventional whiteboards, while at the same time taking advantage of the computational power of the Liveboard to support and augment its users' informal meeting practices. The paper presents the motivations for the design of Tivoli and briefly describes the current version in operation. It then reflects on several issues encountered in designing Tivoli, including the need to reconsider the basic assumptions behind the standard desktop GUI, the use of strokes as the fundamental object in the system, the generalized wipe interface technique, and the use of meta-strokes as gestural commands.'",261,'10.1145/169059.169309','Computer Human Interaction - CHI'
